static_text,log_level
Exception inside handler,error
* does not support method *. Doing nothing.setApplicationTags,debug
Timeout waiting for task [ | ] to be marked as failed in cluster state,error
Major compaction will not result in a single sstable - repaired and unrepaired data is kept separate and compaction runs per data_file_directory.,info
Sequential repair disabled when memory-mapped I/O is configured on Windows. Reverting to parallel.,warn
starting iteration [ | ],info
Registering with watch service: *,debug
Header count=* but writeFunctor count=*,warn
Clearing undo history,debug
Successfully built URI from url:* => *,debug
Error executing interceptor onCommit callback,warn
"Found more than 1 active master, hash *",warn
Node * phi * > *; intervals: * mean: *,trace
unable to lock all shards for index *,trace
ZooKeeper connection lost.  Trying to reconnect.,warn
writing directly to table from Mapper.,info
Removing log=*,trace
Ignore added JobGraph because the job * has already been completed.,debug
Cannot shut down Queryable State Data Server.,warn
[ | ] Summary of timings (ms): ,info
$$$Empty Message$$$,error
Map-reduce job failed!,info
Immediately connected to node *,debug
Error while fetching metadata with correlation id * : *,warn
Starting REST server,info
Performing action: Removing  |  from ,debug
Message: *,debug
[*] [*] recovering [*] from [*],trace
Could not retrieve local network interfaces.,warn
SecureBulkLoadEndpoint is deprecated. It will be removed in future releases.,warn
Error executing interceptor onAcknowledgement callback,warn
Task * is now complete with error: *,info
Already running,warn
Ignored exception,trace
$$$Empty Message$$$,warn
Failed parse,warn
Unable to move corrupted log * to *,warn
clone region= |  as ,info
TTransportException writing to internal frame buffer,error
Replacing  |  in ,debug
Error : **,warn
not refreshing overlaps - running with ignoreOverlaps activated,debug
"Cancelled execution of snapshot future runnable. Cancellation produced the following exception, which is expected an can be ignored.",debug
$$$Empty Message$$$,error
Timeout * ms reached before getting a reply message,debug
Going to update the region  |  with the new favored nodes ,info
SplitLogWorker  |  starting,info
Completed flushing * (*) for commitlog position *,debug
no master known for action [*] for shard entry [*],warn
$$$Empty Message$$$,error
"Couldn't instantiate the file system, not deleting file, just in case.  | =",debug
Encryption is disabled.,debug
JNA mlockall successful,info
notification for task [*] with id [*] failed,warn
reconfiguration failed,debug
No input splitting configured (data will be read with parallelism 1).,debug
Cancelling Twitter source,info
Exception while sending ack: ,warn
Successfully added partitions * to transaction,debug
Checking file ,debug
"Problem reading key store, a new one will be created, ensure you install it in browser, message: *",warn
executing [*] based on cluster state version [*],trace
Sent a version * subscription and got version * assignment back (successful version probing). Downgrading subscription metadata to received version and trigger new rebalance.,info
$$$Empty Message$$$,info
Offset commit failed on partition * at offset *: *,warn
* not specified,warn
Twitter Streaming API connection established successfully,info
Herder stopping,info
handleJoin: ignored join as term was not incremented yet after reboot,debug
 conflicting files (likely created by a flush)  |  of size  |  are moved to L0 due to concurrent stripe change,info
Removing log dir at * ...,debug
$$$Empty Message$$$,warn
Error shutting down sorter thread: ,error
Loading configuration from *,info
$$$Empty Message$$$,warn
Switch to stream read (scanned=* bytes) of *,debug
The heartbeat of ResourceManager with id * timed out.,info
Did not match against auth'n entry: *,debug
Pausing partitions: *,trace
Event *: *,debug
The wait for close of async writer is interrupted,error
Will not guess encoding of url:* as it's binary,debug
Full verification complete for bulk load hfile:  |  took  |  ms,info
skipping rebalance as it is disabled,trace
Response or source variable is null or empty for *,debug
Drop aggregate function overload '*' args '*',info
Get some exceptions for placing primary region server | for table  |  because ,error
Initializing REST resources,info
Error saving FeaturesService state,warn
Will run :  |  using working directory: |  with environment: ,debug
Handling Kafka request * during *,debug
Region replica replication peer id=region_replica_replication not exist. Creating...,info
"reportForDuty to master= |  with port= | , startcode=",info
"get instances for project [*], zones [*]",debug
Maximum capacity of 2^30 in StateMap reached. Cannot increase hash map size. This can lead to more collisions and lower performance. Please consider scaling-out your job or using a different keyed state backend implementation!,warn
Error reading bloom filter meta for  |  -- proceeding without,error
"maximum number of iterations [ | ] reached, terminating...",info
Error reading log file,error
end close.,info
$$$Empty Message$$$,warn
Effective user: *,info
Aborting all flush region subprocedure task threads for ' | ' due to error,info
Value for  | :  | . Will always promote to next tier.,warn
Unexpected type:  |  for name ,warn
Exported transactions: jmeter.reportgenerator.exporter.html.series_filter=^(*)(-success|-failure)?$,info
Constructed SAML Authentication Request: *,trace
All initial bundles installed and set to start,info
Stopping test ...,info
UserInfo endpoint is configured but the OP didn't return an access token so we can't query it,debug
minRegionServers set to ,debug
"Cannot update users file,",error
Load Balancer stop requested: ,info
ConnectorServer started!,info
Proxy to * (host *),debug
SASL client callback: setting userPassword,debug
Suspending,debug
ms server time taken for request  |  response size: ,info
Aborted call * is still in callsInFlight.,warn
Error while closing session.,error
TApplicationException inside handler,error
"kar entry * contains a .. relative path. For security reasons, it's not allowed.",warn
Exception writing to internal frame buffer,error
$$$Empty Message$$$,info
The following subscribed topics are not assigned to any members: * ,warn
Skipping  |  entries in table  |  because located region  |  is different than the original region  |  from WALEdit,trace
  is being defined.,debug
Restoring state for the * (taskIdx=*).,info
Connected to Hive metastore,info
Prefetch start ,trace
Successfully committed * with MPU ID *,debug
Could not properly discard completed checkpoint *.,warn
Error while closing cluster.,error
startProbe(*) not probing local node,trace
*=*,debug
Failed to close * with type *,warn
Not starting native transport as requested. Use JMX (StorageService->startNativeTransport()) or nodetool (enablebinary) to start it,info
Sending remove ban for tasks with the parent [*] to the node [*],debug
Unable to set watcher on znode ,warn
snapshot [*] started,info
Deallocate trace *: *,error
"Connect * to * with session timeout=*ms, retries *, retry interval *ms, keepAlive=*ms",debug
"invalid entry in users file [*], line [*]. skipping...",error
$$$Empty Message$$$,debug
added [ | ] to blacklist,debug
Exception writing to internal frame buffer,error
Unexpected exception,warn
[ | ] Unable to offline region from master:  | .  Just continuing... ,warn
RemoteException while handling sample stopped event.,error
Can't resolve artifact ,warn
Could not close WAL reader,warn
Considering the row.,trace
Nothing to publish. What is already published matches this node's view.,debug
Unable to set storagePolicy= |  for path= | .  | DEBUG log level might have more details.,warn
Requesting subpartition * of partition * with * ms delay.,debug
WARNING: cannot delete directory *,warn
*: Starting RoundTripWorker#ConsumerRunnable.,debug
Deserialized quota from request: ,trace
* closing index service (reason [*][*]),debug
Initiating logout for *,info
end open.,info
Exception caught,warn
Add procedure * as the *th rollback step,debug
Using * of the maximum memory size for managed off-heap memory (* MB).,info
recovered [*] indices into cluster_state,info
$$$Empty Message$$$,error
Updated  |  region servers with  | the new assignment plan,info
"Previous range for * has not been finished yet, give up",debug
Valid alias found for *,info
rotate keys on master,info
"master failure notification was rejected, it's highly likely the node is shutting down",error
User Requested secondary index re-build for */* indexes: *,info
Authenticate user * on Syncope located *,debug
sampleStarting(),debug
Defaulting to encoding:* for url:*,debug
TableInfo already exists.. Skipping creation,trace
Starting data source operator,debug
Assuming a hashed refresh token [*] retrieved from the tokens index,debug
"upgrading=*, minimumMasterNodes=*, nodes=*",debug
Opening split *,info
[*] failed to lock all shards for index - interrupted,warn
$$$Empty Message$$$,trace
Found exit  host: *,debug
* acquired lock to page *,debug
"got response header  | , totalSize:  |  bytes",trace
Found text ' | ' was not expected.  | We were not expecting any more elements within the current tag,error
Problem refresh the affected shell command bundle,error
Done splitting ,info
TTransportException inside handler,error
Installing and starting initial bundles,info
Getting plugin class loader for connector: '*',debug
Failed to commit StreamTask * due to the following error:,error
"Failed to execute task, unexpected exception killed worker: *",error
Channel inactive caused close *,trace
Stat command output,info
Cancelled request * * with correlation id * due to node * being disconnected,trace
Read * entry *,trace
Will read input token of size  |  for processing by initSASLContext,debug
Usage for bundle * is *,debug
Could not load branding.,trace
$$$Empty Message$$$,error
"Retry, connectivity issue (JVM Pause?); quorum= | , | exception=",debug
